Month,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Plywood Price,Plywood price % Change,Rubber Price,Rubber price % Change,Softlog Price,Softlog price % Change,Soft sawnwood Price,Soft sawnwood price % Change,Wood pulp Price,Wood pulp price % Change
Nov-99,255.49,3.32%,436,1.40%,1.02,-2.86%,631.74,1.92%,198.59,0.11%,643.36,0.00%,79.64,-1.01%,466.86,0.97%,0.74,13.85%,170.76,-1.83%,309.67,-4.20%,578.03,5.34%
Dec-99,267.26,4.61%,434,-0.46%,0.97,-4.90%,648.77,2.70%,199.49,0.45%,643.36,0.00%,77.86,-2.24%,467.47,0.13%,0.65,-12.16%,179.66,5.21%,314.24,1.48%,585.65,1.32%
Jan-00,276.44,3.43%,420,-3.23%,1.05,8.25%,724.21,11.63%,193.08,-3.21%,643.36,0.00%,76.28,-2.03%,456.44,-2.36%,0.64,-1.54%,177.31,-1.31%,295.28,-6.03%,611.53,4.42%
Feb-00,260.07,-5.92%,411,-2.14%,1.18,12.38%,727.09,0.40%,184.11,-4.65%,643.36,0.00%,75.88,-0.52%,439.12,-3.79%,0.74,15.63%,178.18,0.49%,312.8,5.93%,615.99,0.73%
Mar-00,267.1,2.70%,399,-2.92%,1.26,6.78%,767.31,5.53%,190.87,3.67%,636.36,-1.09%,77.9,2.66%,448.84,2.21%,0.68,-8.11%,177.67,-0.29%,320.71,2.53%,619.42,0.56%
Apr-00,273.81,2.51%,353,-11.53%,1.29,2.38%,801.42,4.45%,194.19,1.74%,636.36,0.00%,78.67,0.99%,455.05,1.38%,0.7,2.94%,182.67,2.81%,298.83,-6.82%,650.5,5.02%
May-00,290.37,6.05%,324,-8.22%,1.33,3.10%,817.72,2.03%,189.5,-2.42%,633.93,-0.38%,79.24,0.72%,444.04,-2.42%,0.69,-1.43%,181.06,-0.88%,310.91,4.04%,652.67,0.33%
Jun-00,293.98,1.24%,295,-8.95%,1.31,-1.50%,764.33,-6.53%,194.18,2.47%,629.37,-0.72%,75.06,-5.28%,450,1.34%,0.67,-2.90%,181.43,0.20%,303.42,-2.41%,659.11,0.99%
Jul-00,302.36,2.85%,284,-3.73%,1.29,-1.53%,746.93,-2.28%,191.07,-1.60%,628.21,-0.18%,77.52,3.28%,443.83,-1.37%,0.65,-2.99%,174.28,-3.94%,290.24,-4.34%,679.16,3.04%
Aug-00,289.92,-4.11%,274,-3.52%,1.34,3.88%,717.29,-3.97%,191.08,0.01%,604.9,-3.71%,81.61,5.28%,443.86,0.01%,0.66,1.54%,183.16,5.10%,238.72,-17.75%,714.74,5.24%
Sep-00,283.27,-2.29%,222,-18.98%,1.36,1.49%,695.9,-2.98%,193.57,1.30%,544.96,-9.91%,85.44,4.69%,459.01,3.41%,0.66,0.00%,191.6,4.61%,275.27,15.31%,690.17,-3.44%
Oct-00,279.87,-1.20%,210,-5.41%,1.34,-1.47%,688.38,-1.08%,189.44,-2.13%,538.46,-1.19%,85.41,-0.04%,452,-1.53%,0.66,0.00%,175.61,-8.35%,270.09,-1.88%,692.35,0.32%
Nov-00,267.66,-4.36%,237,12.86%,1.41,5.22%,663.53,-3.61%,188.11,-0.70%,526.38,-2.24%,84.43,-1.15%,449.99,-0.44%,0.63,-4.55%,188.41,7.29%,289.62,7.23%,692.13,-0.03%
Dec-00,286.88,7.18%,228,-3.80%,1.45,2.84%,688.39,3.75%,180.16,-4.23%,524.48,-0.36%,85.25,0.97%,436.7,-2.95%,0.62,-1.59%,177.94,-5.56%,211.79,-26.87%,693.62,0.22%
Jan-01,309.69,7.95%,205,-10.09%,1.41,-2.76%,716.14,4.03%,171.87,-4.60%,517.48,-1.33%,85.32,0.08%,427,-2.22%,0.61,-1.61%,178.86,0.52%,275.6,30.13%,687.84,-0.83%
Feb-01,323.95,4.60%,193,-5.85%,1.33,-5.67%,733.28,2.39%,173.43,0.91%,501.75,-3.04%,84.49,-0.97%,439.51,2.93%,0.6,-1.64%,170.31,-4.78%,289.82,5.16%,640.18,-6.93%
Mar-01,315.36,-2.65%,182,-5.70%,1.2,-9.77%,688.23,-6.14%,166.15,-4.20%,500,-0.35%,93.27,10.39%,421.06,-4.20%,0.57,-5.00%,159.95,-6.08%,263.49,-9.08%,616.72,-3.66%
Apr-01,327.52,3.86%,183,0.55%,1.13,-5.83%,760.63,10.52%,162.52,-2.18%,500,0.00%,101.32,8.63%,411.86,-2.18%,0.58,1.75%,158.44,-0.94%,289.28,9.79%,581.42,-5.72%
May-01,325.69,-0.56%,189,3.28%,1.1,-2.65%,716.77,-5.77%,165.05,1.56%,500,0.00%,102.29,0.96%,410.07,-0.43%,0.61,5.17%,157.93,-0.32%,275.59,-4.73%,546.72,-5.97%
Jun-01,326.92,0.38%,196,3.70%,1.05,-4.55%,683.81,-4.60%,164.75,-0.18%,476.69,-4.66%,97.53,-4.65%,409.32,-0.18%,0.62,1.64%,156.63,-0.82%,305.24,10.76%,504.03,-7.81%
Jul-01,328.26,0.41%,223,13.78%,1,-4.76%,630.79,-7.75%,159.29,-3.31%,481.09,0.92%,87.89,-9.88%,393.1,-3.96%,0.6,-3.23%,154.69,-1.24%,289.42,-5.18%,464.67,-7.81%
Aug-01,348.94,6.30%,235,5.38%,0.96,-4.00%,617.91,-2.04%,158.99,-0.19%,475.52,-1.16%,76.94,-12.46%,402.94,2.50%,0.59,-1.67%,157.23,1.64%,292.2,0.96%,413.28,-11.06%
Sep-01,340.53,-2.41%,210,-10.64%,0.91,-5.21%,524.19,-15.17%,156.31,-1.69%,489.51,2.94%,73.06,-5.04%,411.85,2.21%,0.58,-1.69%,160.37,2.00%,282.92,-3.18%,420.8,1.82%
Oct-01,330.29,-3.01%,195,-7.14%,0.82,-9.89%,441.98,-15.68%,149.64,-4.27%,484.65,-0.99%,70.88,-2.98%,404.02,-1.90%,0.54,-6.90%,144.92,-9.63%,274.31,-3.04%,440.56,4.70%
Nov-01,335.91,1.70%,202,3.59%,0.84,2.44%,466.09,5.45%,142.5,-4.77%,465.99,-3.85%,72.88,2.82%,400.63,-0.84%,0.51,-5.56%,152.06,4.93%,289.1,5.39%,442.42,0.42%
Dec-01,376.13,11.97%,212,4.95%,0.95,13.10%,501.44,7.58%,138.13,-3.07%,468.86,0.62%,69.34,-4.86%,386.33,-3.57%,0.49,-3.92%,141.31,-7.07%,266.97,-7.65%,448.93,1.47%
Jan-02,444.11,18.07%,221,4.25%,0.96,1.05%,599.55,19.57%,133.28,-3.51%,470.96,0.45%,68.35,-1.43%,369.35,-4.40%,0.57,16.33%,144.77,2.45%,252.9,-5.27%,439.97,-2.00%
Feb-02,516.35,16.27%,232,4.98%,0.94,-2.08%,621.99,3.74%,134.58,0.98%,482.52,2.45%,72.24,5.69%,366.99,-0.64%,0.62,8.77%,140.23,-3.14%,271.49,7.35%,424.92,-3.42%
Mar-02,529.16,2.48%,232,0.00%,0.93,-1.06%,607.57,-2.32%,143.81,6.86%,482.18,-0.07%,80.3,11.16%,373.49,1.77%,0.67,8.06%,144.32,2.92%,241.47,-11.06%,429.21,1.01%
Apr-02,525.07,-0.77%,244,5.17%,0.91,-2.15%,614.56,1.15%,143.94,0.09%,485.06,0.60%,83.69,4.22%,373.84,0.09%,0.67,0.00%,150.49,4.28%,248.19,2.78%,421.18,-1.87%
May-02,519.78,-1.01%,263,7.79%,0.88,-3.30%,619.09,0.74%,153.43,6.59%,484.65,-0.08%,84.14,0.54%,391.35,4.68%,0.7,4.48%,141.19,-6.18%,254.1,2.38%,447.37,6.22%
Jun-02,548.84,5.59%,289,9.89%,0.96,9.09%,603.14,-2.58%,163.55,6.60%,500,3.17%,86.98,3.38%,404.54,3.37%,0.84,20.00%,133.29,-5.60%,259.95,2.30%,461.21,3.09%
Jul-02,539.68,-1.67%,289,0.00%,1.03,7.29%,569.12,-5.64%,178.82,9.34%,507.45,1.49%,84.39,-2.98%,431.96,6.78%,0.83,-1.19%,149.62,12.25%,287.33,10.53%,495.03,7.33%
Aug-02,534.99,-0.87%,290,0.35%,1.09,5.83%,575.72,1.16%,181.94,1.74%,532.74,4.98%,85.63,1.47%,432.75,0.18%,0.86,3.61%,146.05,-2.39%,280.84,-2.26%,483.38,-2.35%
Sep-02,584.34,9.22%,270,-6.90%,1.08,-0.92%,642.41,11.58%,181.95,0.01%,564.77,6.01%,85.74,0.13%,427.45,-1.22%,0.89,3.49%,149.13,2.11%,309.2,10.10%,473.34,-2.08%
Oct-02,664.34,13.69%,274,1.48%,1.09,0.93%,748.18,16.46%,179.88,-1.14%,565.22,0.08%,85.7,-0.05%,415.78,-2.73%,0.83,-6.74%,147.6,-1.03%,299.03,-3.29%,463.73,-2.03%
Nov-02,691.81,4.13%,290,5.84%,1.15,5.50%,768.39,2.70%,183.47,2.00%,564.44,-0.14%,81.21,-5.24%,424.07,1.99%,0.84,1.20%,156.65,6.13%,283.98,-5.03%,447.56,-3.49%
Dec-02,689.34,-0.36%,301,3.79%,1.22,6.09%,763.16,-0.68%,182.22,-0.68%,565.16,0.13%,70.62,-13.04%,421.19,-0.68%,0.85,1.19%,147.69,-5.72%,290.55,2.31%,440.85,-1.50%
Jan-03,725.81,5.29%,311,3.32%,1.25,2.46%,800.63,4.91%,187.78,3.05%,552.45,-2.25%,69.8,-1.16%,421.39,0.05%,0.91,7.06%,143.16,-3.07%,294.99,1.53%,433.92,-1.57%
Feb-03,734.89,1.25%,309,-0.64%,1.29,3.20%,778.49,-2.77%,186.81,-0.52%,549.83,-0.47%,70.93,1.62%,419.21,-0.52%,0.99,8.79%,150.49,5.12%,277.48,-5.94%,463.78,6.88%
Mar-03,681.58,-7.25%,291,-5.83%,1.35,4.65%,733.7,-5.75%,184.18,-1.41%,549.12,-0.13%,70.11,-1.16%,421.81,0.62%,1.06,7.07%,145.69,-3.19%,257.37,-7.25%,502.06,8.25%
Apr-03,685.72,0.61%,273,-6.19%,1.34,-0.74%,740.17,0.88%,180,-2.27%,550.06,0.17%,67.97,-3.05%,417.4,-1.05%,1,-5.66%,151.94,4.29%,296.9,15.36%,539.15,7.39%
May-03,633.01,-7.69%,276,1.10%,1.28,-4.48%,678.33,-8.35%,183.88,2.16%,554.83,0.87%,63.55,-6.50%,426.39,2.15%,1,0.00%,145.89,-3.98%,275.09,-7.35%,565.19,4.83%
Jun-03,680.28,7.47%,279,1.09%,1.29,0.78%,697.09,2.77%,182.34,-0.84%,552.45,-0.43%,61.28,-3.57%,422.82,-0.84%,1.03,3.00%,146.8,0.62%,290.3,5.53%,554.69,-1.86%
Jul-03,684.95,0.69%,279,0.00%,1.33,3.10%,678.54,-2.66%,181.67,-0.37%,552.45,0.00%,63.84,4.18%,421.26,-0.37%,1,-2.91%,142.07,-3.22%,297.01,2.31%,533.17,-3.88%
Aug-03,653.47,-4.60%,275,-1.43%,1.33,0.00%,670.87,-1.13%,181.46,-0.12%,559.44,1.27%,68.52,7.33%,420.78,-0.11%,1.05,5.00%,150.47,5.91%,291.02,-2.02%,514.35,-3.53%
Sep-03,647.28,-0.95%,274.25,-0.27%,1.41,6.02%,674.52,0.54%,187.19,3.16%,545.45,-2.50%,71.15,3.84%,434.07,3.16%,1.11,5.71%,134.3,-10.75%,292.74,0.59%,522.35,1.56%
Oct-03,602.73,-6.88%,297,8.30%,1.6,13.48%,664.39,-1.50%,196.77,5.12%,545.45,0.00%,70.5,-0.91%,456.29,5.12%,1.3,17.12%,152.32,13.42%,285.83,-2.36%,544.34,4.21%
Nov-03,589.76,-2.15%,335,12.79%,1.7,6.25%,646.52,-2.69%,197.46,0.35%,545.45,0.00%,70.75,0.35%,457.89,0.35%,1.28,-1.54%,144.4,-5.20%,283.28,-0.89%,559.68,2.82%
Dec-03,588.41,-0.23%,400,19.40%,1.62,-4.71%,661.25,2.28%,196.44,-0.52%,538.46,-1.28%,71.23,0.68%,463.24,1.17%,1.26,-1.56%,139.3,-3.53%,269.63,-4.82%,575.34,2.80%
Jan-04,613.51,4.27%,388,-3.00%,1.67,3.09%,729.36,10.30%,199.06,1.33%,538.46,0.00%,72.44,1.70%,469.43,1.34%,1.24,-1.59%,160.5,15.22%,275.44,2.15%,585.82,1.82%
Feb-04,611.93,-0.26%,415,6.96%,1.63,-2.40%,721.52,-1.07%,199,-0.03%,552.45,2.60%,69.54,-4.00%,469.27,-0.03%,1.28,3.23%,172.77,7.64%,303.42,10.16%,608.49,3.87%
Mar-04,587.69,-3.96%,450,8.43%,1.59,-2.45%,708.75,-1.77%,195.2,-1.91%,552.45,0.00%,67.28,-3.25%,460.31,-1.91%,1.33,3.91%,159.41,-7.73%,307.38,1.31%,628.24,3.25%
Apr-04,554.63,-5.63%,500,11.11%,1.53,-3.77%,706.12,-0.37%,197.96,1.41%,552.45,0.00%,63.66,-5.38%,466.82,1.41%,1.37,3.01%,176.76,10.88%,299.19,-2.66%,643.87,2.49%
May-04,533.09,-3.88%,498,-0.40%,1.54,0.65%,676.93,-4.13%,188.43,-4.81%,587.41,6.33%,62.94,-1.13%,444.36,-4.81%,1.35,-1.46%,177.86,0.62%,344.08,15.00%,654.77,1.69%
Jun-04,560.59,5.16%,471,-5.42%,1.42,-7.79%,708.15,4.61%,198.62,5.41%,590.91,0.60%,65.1,3.43%,456.76,2.79%,1.37,1.48%,175.41,-1.38%,343.06,-0.30%,681.76,4.12%
Jul-04,553.05,-1.35%,445,-5.52%,1.26,-11.27%,717.64,1.34%,200.45,0.92%,594.41,0.59%,67.66,3.93%,457.19,0.09%,1.28,-6.57%,180.9,3.13%,347.3,1.24%,678.23,-0.52%
Aug-04,528.97,-4.35%,440,-1.12%,1.19,-5.56%,714.35,-0.46%,198.65,-0.90%,594.41,0.00%,68.87,1.79%,453.08,-0.90%,1.23,-3.91%,184.6,2.05%,355.27,2.29%,662.54,-2.31%
Sep-04,500.93,-5.30%,448,1.82%,1.24,4.20%,703.6,-1.50%,199.27,0.31%,594.41,0.00%,68.2,-0.97%,454.51,0.32%,1.24,0.81%,180.48,-2.23%,342.72,-3.53%,633.45,-4.39%
Oct-04,508.86,1.58%,447,-0.22%,1.16,-6.45%,718.96,2.18%,197.96,-0.66%,601.4,1.18%,67.22,-1.44%,459.04,1.00%,1.27,2.42%,171.62,-4.91%,349.5,1.98%,618.23,-2.40%
Nov-04,537.86,5.70%,449,0.45%,1.08,-6.90%,736.03,2.37%,202.13,2.11%,608.39,1.16%,66.5,-1.07%,476.66,3.84%,1.23,-3.15%,170.98,-0.37%,327.98,-6.16%,632.58,2.32%
Dec-04,547.3,1.76%,449,0.00%,1.07,-0.93%,717.96,-2.46%,190.35,-5.83%,608.39,0.00%,66.09,-0.62%,510.42,7.08%,1.18,-4.07%,172.9,1.12%,292.37,-10.86%,661.54,4.58%
Jan-05,556.94,1.76%,429.5,-4.34%,1.13,5.61%,730.77,1.78%,191.43,0.57%,636.36,4.60%,65.84,-0.38%,513.33,0.57%,1.18,0.00%,184.31,6.60%,328.99,12.53%,661.78,0.04%
Feb-05,549.33,-1.37%,440,2.44%,1.16,2.65%,734.66,0.53%,191.02,-0.21%,636.36,0.00%,66.01,0.26%,514.87,0.30%,1.26,6.78%,179.08,-2.84%,316.35,-3.84%,677.95,2.44%
Mar-05,545.18,-0.76%,474,7.73%,1.24,6.90%,728.58,-0.83%,193.65,1.38%,646.85,1.65%,65.83,-0.27%,517.51,0.51%,1.32,4.76%,179.16,0.04%,359.52,13.65%,691.07,1.94%
Apr-05,543.69,-0.27%,460,-2.95%,1.26,1.61%,729.18,0.08%,194.15,0.26%,643.36,-0.54%,64.6,-1.87%,507.64,-1.91%,1.31,-0.76%,183.79,2.58%,325.82,-9.37%,674.67,-2.37%
May-05,543.49,-0.04%,446.25,-2.99%,1.23,-2.38%,717.13,-1.65%,202.52,4.31%,657.34,2.17%,64.5,-0.15%,519.12,2.26%,1.36,3.82%,171.36,-6.76%,334.52,2.67%,651.35,-3.46%
Jun-05,553.32,1.81%,433,-2.97%,1.19,-3.25%,684.6,-4.54%,203.12,0.30%,657.34,0.00%,65.6,1.71%,510.9,-1.58%,1.46,7.35%,179.02,4.47%,327.32,-2.15%,629.03,-3.43%
Jul-05,563.57,1.85%,425,-1.85%,1.21,1.68%,692.06,1.09%,205.53,1.19%,657.34,0.00%,66.26,1.01%,495.96,-2.92%,1.69,15.75%,182.64,2.02%,298.1,-8.93%,610.6,-2.93%
Aug-05,531.87,-5.62%,371,-12.71%,1.19,-1.65%,668.84,-3.36%,211.94,3.12%,664.34,1.06%,66.22,-0.06%,510.29,2.89%,1.6,-5.33%,184.32,0.92%,334.24,12.12%,608.22,-0.39%
Sep-05,517.85,-2.64%,346,-6.74%,1.21,1.68%,647.4,-3.21%,216.8,2.29%,671.33,1.05%,65.68,-0.82%,513.25,0.58%,1.7,6.25%,185.04,0.39%,331.08,-0.95%,603.39,-0.79%
Oct-05,500.83,-3.29%,384,10.98%,1.28,5.79%,622.57,-3.84%,211.27,-2.55%,671.33,0.00%,65.33,-0.53%,496.44,-3.28%,1.7,0.00%,181.81,-1.75%,331.64,0.17%,603.49,0.02%
Nov-05,481.51,-3.86%,383.75,-0.07%,1.25,-2.34%,593.69,-4.64%,205.47,-2.75%,685.31,2.08%,65.9,0.87%,498.28,0.37%,1.6,-5.88%,181.24,-0.31%,333.1,0.44%,604.32,0.14%
Dec-05,479.73,-0.37%,372,-3.06%,1.25,0.00%,583.24,-1.76%,210.52,2.46%,685.31,0.00%,65.91,0.02%,505.74,1.50%,1.68,5.00%,186.74,3.03%,319.36,-4.12%,609.84,0.91%
Jan-06,496.6,3.52%,372.5,0.13%,1.29,3.20%,639.17,9.59%,221,4.98%,713.29,4.08%,65.6,-0.47%,519.7,2.76%,1.88,11.90%,186.05,-0.37%,308.75,-3.32%,618.78,1.47%
Feb-06,520.76,4.87%,392.5,5.37%,1.32,2.33%,709.73,11.04%,222.54,0.70%,713.29,0.00%,66.1,0.76%,530.18,2.02%,2.06,9.57%,183.81,-1.20%,324.53,5.11%,624.71,0.96%
Mar-06,528.71,1.53%,385,-1.91%,1.27,-3.79%,698.75,-1.55%,225.16,1.18%,713.29,0.00%,66.86,1.15%,537.03,1.29%,2.07,0.49%,193.49,5.27%,317.78,-2.08%,639.8,2.42%
Apr-06,515.46,-2.51%,372,-3.38%,1.24,-2.36%,697.7,-0.15%,229.39,1.88%,720.28,0.98%,67.59,1.09%,545.55,1.59%,2.14,3.38%,205.17,6.04%,309.13,-2.72%,661.67,3.42%
May-06,522,1.27%,390,4.84%,1.2,-3.23%,732.25,4.95%,244.17,6.44%,759.9,5.50%,69.04,2.15%,576.63,5.70%,2.45,14.49%,193.15,-5.86%,327.65,5.99%,687.99,3.98%
Jun-06,515.63,-1.22%,387,-0.77%,1.22,1.67%,714.49,-2.43%,238.46,-2.34%,749.27,-1.40%,69.45,0.59%,611.17,5.99%,2.7,10.20%,185.69,-3.86%,349.85,6.78%,697.33,1.36%
Jul-06,522.87,1.40%,383.75,-0.84%,1.22,0.00%,704.85,-1.35%,236.12,-0.98%,749.62,0.05%,68.79,-0.95%,635.42,3.97%,2.48,-8.15%,193.33,4.11%,357.94,2.31%,728.77,4.51%
Aug-06,534.29,2.18%,404,5.28%,1.32,8.20%,717.56,1.80%,240.03,1.66%,769.3,2.63%,68.96,0.25%,638.59,0.50%,2.18,-12.10%,176.61,-8.65%,368.83,3.04%,739.44,1.46%
Sep-06,521.83,-2.33%,413,2.23%,1.3,-1.52%,704.91,-1.76%,246.47,2.68%,766.66,-0.34%,69.81,1.23%,640.98,0.37%,1.81,-16.97%,193.46,9.54%,355.23,-3.69%,743.03,0.49%
Oct-06,524.66,0.54%,410.5,-0.61%,1.26,-3.08%,690.74,-2.01%,245.32,-0.47%,762.07,-0.60%,69.68,-0.19%,632.07,-1.39%,1.82,0.55%,182.19,-5.83%,372.6,4.89%,752.24,1.24%
Nov-06,640.02,21.99%,434,5.72%,1.27,0.79%,790.34,14.42%,256.02,4.36%,776.99,1.96%,71.58,2.73%,639.13,1.12%,1.62,-10.99%,179.94,-1.23%,349.97,-6.07%,767.52,2.03%
Dec-06,644.21,0.65%,486,11.98%,1.31,3.15%,790.69,0.04%,268.46,4.86%,798.18,2.73%,73.71,2.98%,640.31,0.18%,1.73,6.79%,171.15,-4.88%,367.03,4.87%,721.93,-5.94%
Jan-07,715.51,11.07%,483.75,-0.46%,1.3,-0.76%,893.66,13.02%,262.27,-2.31%,796.35,-0.23%,75.88,2.94%,622,-2.86%,2.08,20.23%,167.76,-1.98%,355.07,-3.26%,717.36,-0.63%
Feb-07,706.96,-1.19%,503,3.98%,1.28,-1.54%,875.62,-2.02%,262.56,0.11%,795.36,-0.12%,77.7,2.40%,622.68,0.11%,2.28,9.62%,165.12,-1.57%,369.66,4.11%,730.04,1.77%
Mar-07,724.75,2.52%,509,1.19%,1.29,0.78%,914.02,4.39%,269.66,2.70%,791.45,-0.49%,77.65,-0.06%,643.78,3.39%,2.23,-2.19%,151.27,-8.39%,343.57,-7.06%,734.74,0.64%
Apr-07,742.55,2.46%,552.5,8.55%,1.26,-2.33%,940.37,2.88%,266.04,-1.34%,808.81,2.19%,77.87,0.28%,635.15,-1.34%,2.32,4.04%,163.04,7.78%,353.73,2.96%,743.48,1.19%
May-07,788.25,6.15%,592,7.15%,1.22,-3.17%,989.08,5.18%,261.95,-1.54%,806.21,-0.32%,76.81,-1.36%,641.1,0.94%,2.37,2.16%,158.72,-2.65%,362.25,2.41%,748.92,0.73%
Jun-07,787.58,-0.08%,653,10.30%,1.34,9.84%,987.73,-0.14%,257.91,-1.54%,807.06,0.11%,73.26,-4.62%,642.65,0.24%,2.23,-5.91%,148.6,-6.38%,339.56,-6.26%,761.35,1.66%
Jul-07,761.64,-3.29%,612.75,-6.16%,1.5,11.94%,936.34,-5.20%,263.05,1.99%,826.41,2.40%,67.67,-7.63%,645.62,0.46%,2.08,-6.73%,146.32,-1.53%,309.03,-8.99%,746.12,-2.00%
Aug-07,732.83,-3.78%,595,-2.90%,1.47,-2.00%,914.11,-2.37%,270.93,3.00%,816.74,-1.17%,67.09,-0.86%,646.82,0.19%,2.11,1.44%,149.87,2.43%,248.86,-19.47%,771.68,3.43%
Sep-07,765.24,4.42%,613.75,3.15%,1.5,2.04%,943.08,3.17%,274.96,1.49%,819.62,0.35%,68.27,1.76%,647.74,0.14%,2.16,2.37%,161.27,7.61%,316.41,27.14%,791.67,2.59%
Oct-07,807.45,5.52%,657.5,7.13%,1.52,1.33%,"1,080.64",14.59%,271.68,-1.19%,812.95,-0.81%,66.76,-2.21%,648,0.04%,2.33,7.87%,143.4,-11.08%,295.23,-6.69%,802.24,1.34%
Nov-07,828.19,2.57%,748,13.76%,1.54,1.32%,"1,102.71",2.04%,279.41,2.85%,806.27,-0.82%,68.3,2.31%,647.16,-0.13%,2.48,6.44%,135.16,-5.75%,306.63,3.86%,829.36,3.38%
Dec-07,817.45,-1.30%,765,2.27%,1.53,-0.65%,"1,097.26",-0.49%,275.34,-1.46%,788.33,-2.23%,68.4,0.15%,645.91,-0.19%,2.48,0.00%,124.59,-7.82%,310.94,1.41%,826.6,-0.33%
Jan-08,840.86,2.86%,848,10.85%,1.61,5.23%,"1,157.37",5.48%,287.08,4.26%,812.62,3.08%,65.47,-4.28%,640.93,-0.77%,2.62,5.65%,137.75,10.56%,322.86,3.83%,845.09,2.24%
Feb-08,843.77,0.35%,921,8.61%,1.65,2.48%,"1,154.25",-0.27%,288.4,0.46%,855.84,5.32%,65.35,-0.18%,639.21,-0.27%,2.79,6.49%,130.78,-5.06%,311.94,-3.38%,849.37,0.51%
Mar-08,835.3,-1.00%,971.67,5.50%,1.77,7.27%,"1,136.00",-1.58%,304.85,5.70%,912.45,6.61%,65.83,0.73%,640.94,0.27%,2.79,0.00%,135.11,3.31%,298.26,-4.39%,856,0.78%
Apr-08,823.97,-1.36%,962.5,-0.94%,1.66,-6.21%,"1,133.42",-0.23%,291.76,-4.29%,940.97,3.13%,67.36,2.32%,646.56,0.88%,2.84,1.79%,135.71,0.44%,291.6,-2.23%,867.64,1.36%
May-08,781.49,-5.16%,"1,013.75",5.32%,1.63,-1.81%,"1,062.44",-6.26%,282.97,-3.01%,933.58,-0.79%,67.26,-0.15%,648.18,0.25%,3.05,7.39%,144.83,6.72%,305.65,4.82%,870.98,0.38%
Jun-08,778.46,-0.39%,"1,062.50",4.81%,1.7,4.29%,"1,041.10",-2.01%,272.29,-3.77%,932.89,-0.07%,67.43,0.25%,647.3,-0.14%,3.22,5.57%,152.37,5.21%,294.01,-3.81%,873.41,0.28%
Jul-08,793.63,1.95%,946,-10.96%,1.7,0.00%,"1,047.97",0.66%,275.76,1.27%,932.77,-0.01%,68.15,1.07%,647.87,0.09%,3.2,-0.62%,143.25,-5.99%,332.27,13.01%,878.37,0.57%
Aug-08,717.57,-9.58%,780,-17.55%,1.72,1.18%,941.71,-10.14%,272.95,-1.02%,879.39,-5.72%,68.95,1.17%,649.25,0.21%,2.93,-8.44%,146.58,2.32%,315.06,-5.18%,841.84,-4.16%
Sep-08,656.35,-8.53%,723.75,-7.21%,1.62,-5.81%,896.79,-4.77%,284.47,4.22%,888.76,1.07%,68.22,-1.06%,648.82,-0.07%,2.83,-3.41%,145.16,-0.97%,312.56,-0.79%,826.18,-1.86%
Oct-08,510.28,-22.25%,585,-19.17%,1.37,-15.43%,734.91,-18.05%,304.45,7.02%,861.7,-3.04%,68.15,-0.10%,643.85,-0.77%,1.92,-32.16%,169.06,16.46%,324.72,3.89%,782.98,-5.23%
Nov-08,450.98,-11.62%,479,-18.12%,1.21,-11.68%,646.17,-12.07%,315.97,3.78%,872.33,1.23%,61.53,-9.71%,646.49,0.41%,1.65,-14.06%,167.18,-1.11%,333.19,2.61%,719.8,-8.07%
Dec-08,477.83,5.95%,495,3.34%,1.22,0.83%,666.39,3.13%,326.62,3.37%,845.8,-3.04%,35.6,-42.14%,646.07,-0.06%,1.2,-27.27%,160.09,-4.24%,315.35,-5.35%,630.33,-12.43%
Jan-09,464.59,-2.77%,478.75,-3.28%,1.27,4.10%,625.45,-6.14%,329.65,0.93%,818.45,-3.23%,38.06,6.91%,574.7,-11.05%,1.49,24.17%,145.27,-9.26%,322.88,2.39%,607.85,-3.57%
Feb-09,449.72,-3.20%,446,-6.84%,1.22,-3.94%,586.26,-6.27%,322.45,-2.18%,806.65,-1.44%,34.79,-8.59%,572.96,-0.30%,1.46,-2.01%,168.55,16.03%,319.02,-1.20%,549.83,-9.55%
Mar-09,460.47,2.39%,416,-6.73%,1.14,-6.56%,617.15,5.27%,288.57,-10.51%,815.86,1.14%,28.59,-17.82%,570.79,-0.38%,1.43,-2.05%,147.09,-12.73%,310.82,-2.57%,537.7,-2.21%
Apr-09,516.6,12.19%,499,19.95%,1.25,9.65%,686.86,11.30%,283.13,-1.89%,815.68,-0.02%,28.99,1.40%,567.72,-0.54%,1.62,13.29%,142.86,-2.88%,284.88,-8.35%,538.79,0.20%
May-09,599.31,16.01%,558.75,11.97%,1.37,9.60%,761.34,10.84%,291.06,2.80%,855.42,4.87%,30.47,5.11%,565.91,-0.32%,1.69,4.32%,132.06,-7.56%,285.42,0.19%,545.38,1.22%
Jun-09,609.15,1.64%,480,-14.09%,1.35,-1.46%,741.73,-2.58%,279.25,-4.06%,817.9,-4.39%,37.38,22.68%,563.63,-0.40%,1.67,-1.18%,133.73,1.26%,294.96,3.34%,565.7,3.73%
Jul-09,609.3,0.02%,448,-6.67%,1.43,5.93%,763.62,2.95%,281.42,0.78%,760.28,-7.04%,48.31,29.24%,561.93,-0.30%,1.75,4.79%,132.6,-0.84%,277.12,-6.05%,596.2,5.39%
